Lexeme , Token , Count
program , Keyword , 1
public2 , Identifier , 1
( , Separator , 6
output , Identifier , 1
) , Separator , 6
; , Separator , 13
const , Keyword , 1
d , Identifier , 2
= , Operator , 6
0.0625 , Literal , 1
s , Identifier , 2
32 , Literal , 2
h , Identifier , 2
34 , Literal , 1
c , Identifier , 2
6.28318 , Literal , 1
lim , Identifier , 2
var , Keyword , 1
x , Identifier , 4
, , Separator , 2
y , Identifier , 3
: , Separator , 2
real , Identifier , 1
i , Identifier , 3
n , Identifier , 5
integer , Identifier , 1
begin , Keyword , 2
for , Keyword , 1
:= , Operator , 5
0 , Literal , 2
to , Keyword , 1
do , Keyword , 1
* , Operator , 4
exp , Identifier , 1
- , Operator , 1
sin , Identifier , 1
round , Identifier , 1
+ , Operator , 1
repeat , Keyword , 1
write , Identifier , 1
" " , Literal , 1
-1 , Literal , 1
until , Keyword , 1
writeln , Identifier , 1
"*" , Literal , 1
end , Keyword , 2
